user,content,collect,forward,comment,like,userUrl
0,湖北日报,【抗疫题材时代报告剧《在一起》大腕云集，预告片就看哭了……】#在一起首发预告# 由国家广电总局指导，国家卫健委和上海市委宣传部支持，上海广播电视台、耀客传媒、尚世影业共同出品的抗疫题材时代报告剧《在一起》发布预告。用一个个温馨故事讲述平凡人的挺身而出，小人物也是大英雄，我们在一起。 展开全文c,收藏,转发 40165,评论 8500,109775,https://weibo.com/2827102952?refer_flag=1001030103_
09月27日 13:27,澎湃新闻,,收藏,转发 28,评论 68,198,https://weibo.com/5044281310?refer_flag=1001030103_
0,电视剧在一起,【人民日报王慧敏：内容是王道，这是新闻行里颠扑不灭的真理】9月27日，#2020中国网络媒体论坛#在上海举行。人民日报社编委委员、海外版编辑部总编辑王慧敏表示，内容是王道，这是新闻行里颠扑不灭的真理。（来源：上海广播电视台）O人民日报王慧敏：内容是王道，这是新闻行里颠扑不灭的真理 L澎湃新闻的微博视频,收藏,转发 678,评论 1394,10316,https://weibo.com/7457593700?refer_flag=1001030103_
0,健康上海12320,由国家广电总局指导，国家卫健委和上海市委宣传部支持，上海广播电视台、耀客传媒、尚世影业共同出品的抗疫题材时代报告剧#在一起首发预告#。8月6日，来自国家广播电视总局、中共上海市委宣传部、上海广播电视台和上海文化广播影视集团的相关领导，携手《在一起》部分主创共同见证时代报告剧 展开全文c,收藏,转发,评论,2,https://weibo.com/2372649470?refer_flag=1001030103_
10月04日 15:37,澳利方圆路孟凡,,收藏,转发,评论,0,https://weibo.com/1291533685?refer_flag=1001030103_
0,上海工会发布,【我是党员——上海市疾病预防控制中心党委】由市党建服务中心联合上海广播电视台共同拍摄制作的《我是党员——抗击疫情专辑》系列专题片第二轮共8期，已从10月1日起每晚在上海电视台新闻综合、纪实人文等频道播出。昨晚播出的专题片聚焦中共上海市疾病预防控制中心委员会，一起来看视频和详情吧： 展开全文c,收藏,转发 2,评论,3,https://weibo.com/3474620860?refer_flag=1001030103_
0,白泽宫,,收藏,转发,评论 1,5,https://weibo.com/2787500995?refer_flag=1001030103_
0,绿色青浦,【在一起_百度百科】《在一起》是由上海广播电视台、耀客传媒和上海尚世影业联合出品，张黎、沈严、曹盾、汪俊、姚晓峰等联合执导，六六、秦文、高璇、任宝茹、冯骥等编剧，张嘉益、周一围、谭... O网页链接,收藏,转发,评论,0,https://weibo.com/2651262981?refer_flag=1001030103_
10月01日 10:14,综艺报,【沪上6家文旅单位正在招聘！即日起可网上报名】上海海聚英才平台发布：上海广播电视台融媒体中心、上海南京路步行街投资发展有限公司、国际传媒港（上海）文化发展有限公司等6家文旅单位正在招聘，岗位包括记者/编导、新媒体运营专员、制片等。有意者可扫描各招聘单位下方二维码，了解岗位具体信息， 展开全文c,收藏,转发,评论,1,https://weibo.com/1198531673?refer_flag=1001030103_
0,青海广电,,收藏,转发,评论,0,https://weibo.com/7332404122?refer_flag=1001030103_
09月30日 18:04,清青香草,"#在一起台词#
这个双节最打动我的剧，没有之一。有种错觉，每一集都可以单独参赛了，演技没得说。一个片子的名字就把档次拉开了。中国南北差距，官本位思想害死人，脱离群众死路一条。经济越发达的地方越务实。可能说反了，改革开放越到位的地方越发达吧。央视和上海广播电视台，人比人气死人，怪谁呢 展开全文c",收藏,转发,评论,0,https://weibo.com/6329017847?refer_flag=1001030103_
0,红河州检察院,,收藏,转发,评论 4,5,https://weibo.com/5930278887?refer_flag=1001030103_
09月30日 00:13,板刷在篱笆的马甲,【国庆中秋8天长假有哪些精彩的电视广播节目？现在划重点！】2020国庆、中秋双节来啦！八天长假一定要好好放松一下，上海广播电视台为大家备好了亮点纷呈的视听节目！您还可以登录BesTV APP随时收看。10月1日当晚，东方卫视将播出年度扶贫盛典《我们在行动·金秋丰收夜》；纪实人文频道将在国庆期间编播 展开全文c,收藏,转发 15,评论,1,https://weibo.com/2857811674?refer_flag=1001030103_
0,大江大河官微,,收藏,转发 770,评论 592,5608,https://weibo.com/6380524663?refer_flag=1001030103_
0,江南文体频道,【上海广播电视台台长宋炯明解读BesTV+流媒体战略】当传统广电收听收视率和传播力创新高的情况下，各频道、频率的广告营收并没有明显变化。这种高收视、高收听份额并未转化为营收增量的难题要如何破解？详细：O上海广播电视台台长宋炯明解读BesTV+流媒体战略,收藏,转发,评论,1,https://weibo.com/3171766712?refer_flag=1001030103_
0,明星上头条star,【广电快讯丨纪录片《代号 221》等4部作品入围第26届电视文艺“星光奖”】 9月28日，第32届电视剧“飞天奖”、第26届电视文艺“星光奖”颁奖典礼在河北省衡水市举行。由上海广播电视台牵头，联合青海广播电视台制作的纪录片《长江之恋》荣获第26届“星光奖”电视纪录片奖；由青海省广播电视局配合上海 展开全文c,收藏,转发 1,评论 1,2,https://weibo.com/6459999963?refer_flag=1001030103_
0,我爱大陕西,,收藏,转发,评论,0,https://weibo.com/2243031847?refer_flag=1001030103_
0,新浪深圳科技频道,总编辑编剧“李小明”，腐败的明朝已经过气了，旧朝走狗又来清朝蹦哒什么！轮得到你们这些旧朝狗说话嘛艺伎圈💩@编剧李小明 @上海广播电视台 你们🐶跟早熟开放上海人中某些个上海老司机n挺配，跟二手三手没文化河南古筝艺伎也挺配💩你们这地当朝无高官也无功勋人物，嫉妒了？哈,收藏,转发,评论 1,5,https://weibo.com/5059529868?refer_flag=1001030103_
0,上海长宁,【跟随援鄂医疗队赴武汉拍摄纪录片的他 讲述什么是英雄】疫情暴发后，上海广播电视台纪录片中心工作室负责人范士广，跟随上海援鄂医疗队前往武汉拍摄纪录片。在一张同济医院光谷院区ICU病房徐东亚护士的照片前，范士广回忆，当时说到没能挽救一位病人的生命，徐东亚自责地哭起来，“什么是英雄？在世俗 展开全文c,收藏,转发,评论,0,https://weibo.com/1812581591?refer_flag=1001030103_
0,Halcyon-Z,,收藏,转发,评论,0,https://weibo.com/5862189893?refer_flag=1001030103_
0,Levo丶,#文明中国# 为全方位、多角度展示上海市新时代文明实践中心建设试点工作成果，在更大范围、更宽领域促进相关经验交流、互鉴互学，讲好“文明实践在上海”的故事，传递“志愿服务在上海”的温度，市文明办、市志愿者协会联合各区文明办、上海广播电视台、东方网共同开展预计为期半年的“文明实践在上海 展开全文c,收藏,转发,评论,0,https://weibo.com/2301757377?refer_flag=1001030103_
0,影视葛二蛋,,收藏,转发 7,评论 15,76,https://weibo.com/5565206512?refer_flag=1001030103_
0,看世界杂志,"由上海广播电视台等出品，根据9位共和国勋章获得者真实事迹改编的2021重点献礼大剧《#功勋#》目前已有五个单元开拍（每个单元6集左右）：
申纪兰单元：蒋欣领衔主演（今天开机）；
孙家栋单元：佟大为、孙俪主演（已开机）；
张富清单元：郭涛、孙茜主演（已开机）；
黄旭华单元：黄晓明、陈好主演（已 展开全文c",收藏,转发,评论,0,https://weibo.com/2012225931?refer_flag=1001030103_
09月25日 18:09 转赞人数超过200,同济大学,,收藏,转发 6,评论 28,274,https://weibo.com/1865154537?refer_flag=1001030103_
0,东方卫视文娱新天地,"#世界君观影#
《无常·四重奏》

首播：2020.8.1（中国大陆）
集数：4
豆瓣评分：8.5

人生无常，是2020年上半年许多人的感悟。多变的疫情、肆虐的洪水……接踵而至的变故，拉扯着人们的神经。当生活向我们发起挑战时，我们该如何应对?

《无常·四重奏》是上海广播电视台纪录片中心与运动科技品牌Keep联 展开全文c",收藏,转发 48,评论 16,112,https://weibo.com/3375423350?refer_flag=1001030103_
09月23日 13:36,广电时评,,收藏,转发,评论,3,https://weibo.com/5794984371?refer_flag=1001030103_
09月22日 22:21,南有長阳,#在同济# 由同济大学 、上海京剧院、上海广播电视台纪实人文频道共同打造的“艺术课堂实景版•品戏京剧”校园活动，将与大家线上线下开展。同济，有戏！我们来了！ L同济大学的微博视频,收藏,转发,评论,0,https://weibo.com/5605037322?refer_flag=1001030103_
0,电视剧光荣与梦想,由国家广电总局全程组织指导，上海广播电视台和耀客传媒、尚世影业共同出品的抗疫题材时代报告剧《在一起》即将于9月29日在东方卫视播出。近日，主创们在武汉的洪山体育馆举办了一场开播盛典。几个月前，这个地方曾是最早开设、最晚关闭的方舱医院，大伙儿重新在这里相聚也是意在向英雄的武汉人民和湖 展开全文c,收藏,转发 924,评论 326,2224,https://weibo.com/7486900240?refer_flag=1001030103_
0,文化上海,,收藏,转发 1,评论,2,https://weibo.com/2683772833?refer_flag=1001030103_
0,看看新闻KNEWS,9月22日，国家广播电视总局在京召开全国广电系统庆祝中国共产党成立100周年主题作品创作推进会。会上，北京广播电视局、上海广播电视台、浙江广播电视集团、江苏省广播电视总台、芒果超媒股份有限公司、腾讯视频代表先后发言。#总局要闻# O建党百年主题创作推进会案例｜北京、上海、浙江、江苏、芒果、腾讯,收藏,转发 20,评论 52,105,https://weibo.com/1845864154?refer_flag=1001030103_
09月22日 14:25 转赞人数超过20,他长得很好看,"瑜洲上海广播电视台真会找演员
居然找花椒油不应该是在上海的喜喂粥吗
懂得都懂",收藏,转发 1,评论 8,29,https://weibo.com/1912478022?refer_flag=1001030103_
09月22日 00:22 转赞人数超过1000,新闻晨报,9月21日，国家广播电视总局党组成员、副局长朱咏雷，国家广播电视总局办公厅主任吴保安，国家广播电视总局电视剧司司长高长力，国家广播电视总局电视剧司艺术处处长刘文峰及浙江省广播电视局党组书记、局长张伟斌，浙江省广播电视局党组成员、副局长徐晓，浙江省广播电视局办公室副主任汪浩雷，浙江省 展开全文c,收藏,转发 320,评论 145,1355,https://weibo.com/1314608344?refer_flag=1001030103_
0,首都广播电视,,收藏,转发 2,评论 2,2,https://weibo.com/2611712073?refer_flag=1001030103_
0,青海广电,【第30届上海白玉兰戏剧表演艺术奖提名名单公布】由上海市文学艺术界联合会、上海市文化和旅游局、上海广播电视台共同主办，上海市戏剧家协会、东方卫视中心、上海市文艺期刊中心、上海市文艺评论家协会共同承办的第30届上海白玉兰戏剧表演艺术奖（以下简称白玉兰戏剧奖）各奖项提名演员名单已经产生， 展开全文c,收藏,转发,评论,0,https://weibo.com/7332404122?refer_flag=1001030103_
09月20日 23:26,边锻炼边刷微博,,收藏,转发,评论,0,https://weibo.com/2363981564?refer_flag=1001030103_
0,羊城派,【#上海#“老房装电梯”媒体行动收官 第400台加装电梯今投入使用】老房加装电梯是许多上海人关心的话题。22日上午，由市房管局和上海广播电视台共同主办的“老房装电梯 品质好升活”大型媒体行动收官。活动现场颁出“一马当先奖”、“跨前一步奖”和“创新智慧奖”等奖项，另外，今天上海迎来全市第400 展开全文c,收藏,转发,评论,5,https://weibo.com/5787187353?refer_flag=1001030103_
0,情冉血舞,,收藏,转发,评论,0,https://weibo.com/5940371484?refer_flag=1001030103_
09月19日 19:51,kirisukeAqua,"电视剧大时代 入选建国70周年献礼名单，由冯绍峰、袁姗姗、乔振宇主演的50集电视剧《大时代》变更剧名为《#创业年代#》，出品方由上海广播电视台、优酷变更为中央电视台、优酷。
该剧电视播出平台可能由原定的东方卫视转央视播出。",收藏,转发,评论,0,https://weibo.com/3185837540?refer_flag=1001030103_
09月18日 21:53,一个适龄正常女青年mango,#在一起首发预告#由国家广电总局指导，国家卫健委和上海市委宣传部支持，上海广播电视台、耀客传媒、尚世影业共同出品的抗疫题材时代报告剧《在一起》发布预告。用一个个温馨故事讲述平凡人的挺身而出，小人物也是大英雄，我们在一起。L微博娱乐的微博视频,收藏,转发 2,评论 2,0,https://weibo.com/2669687052?refer_flag=1001030103_
09月18日 10:07,青海发布,"【纪录片《青海•我们的国家公园》《家在云朵上》推介活动举行】9月17日，纪录片《青海•我们的国家公园》《家在云朵上》推介活动在西宁举行。省委常委、宣传部长陈瑞峰出席并讲话，副省长张黎为上海广播电视台纪实频道颁发“影视创作友好协作团队”荣誉证书。
O纪录片《青海·我们的国家公园》《家在云朵上》推介活动举行",收藏,转发 4,评论 1,4,https://weibo.com/2782520515?refer_flag=1001030103_
0,央广青海记者站,"纪录片《青海·我们的国家公园》《家在云朵上》11月将与观众见面

由青海省委宣传部、青海省广播电视局联合上海广播电视台、青海广播电视台摄制的生态建设题材纪录片《青海·我们的国家公园》、脱贫攻坚题材纪录片《家在云朵上》目前已完成拍摄工作，进入后期制作阶段，预计11月播出。

《 展开全文c",收藏,转发 4,评论,1,https://weibo.com/3203640104?refer_flag=1001030103_
09月17日 08:34,Ryogi_R,,收藏,转发,评论,0,https://weibo.com/1766058282?refer_flag=1001030103_
0,上海人民广播电台,我喜欢的两个内地男演员，一个去年11月粉上的，演了上海广播电视台的抗疫剧，一个今年3月刚粉上的演了央视的抗疫剧，我觉的我圆满了，难得追了两个内地的星，都追成了主旋律，哈哈哈哈哈哈哈。两位演员都加油，未来可期。,收藏,转发 1,评论 1,3,https://weibo.com/1929396331?refer_flag=1001030103_
0,时光崽-威,【中国首部8K实景歌剧电影《贺绿汀》拍摄杀青，5G与8K的碰撞火花四起】作为上海音乐学院和上海广播电视台迎接建党百年华诞的重大项目，由国家一级导演、SMG监事长、上海电视艺术家协会主席滕俊杰担纲导演，由上海音乐学院院长、上海音乐家协会主席、著名男中音歌唱家廖昌永饰演主角贺绿汀的中国首部8K 展开全文c,收藏,转发,评论,0,https://weibo.com/6572478359?refer_flag=1001030103_
0,日知新传考研,,收藏,转发,评论,1,https://weibo.com/7358193034?refer_flag=1001030103_
0,牧笛声声188,"东方神域东方卫视，全称上海广播电视台东方卫视频道，昵称番茄台，是上海广播电视台和上海文化广播影视集团有限公司（SMG）的上星频道，开播于2003年10月23日。
1998年10月1日，东方卫视的前身上海卫视（全称为上海电视台卫星频道，英文缩写为SBN）开播。2003年10月23日，上海卫视更名为东方卫 展开全文c",收藏,转发 1,评论,5,https://weibo.com/1218747455?refer_flag=1001030103_
