word,val
麻洋街,450
谭松韵,316
许魏洲,230
欧小剑,218
马晓晓,184
北京,145
圆梦,120
真的,76
狠,73
牛骏峰,55
ZZ,48
小剑哥,44
,44
机车,38
东东,36
剧,35
太,35
易,35
seven,32
喜欢,30
爱,30
小马,27
追剧,24
心疼,23
受伤,23
想,23
角色,23
过河,22
中,22
载马晓晓,22
终于,21
优酷,20
晓晓,20
青春,20
上学,19
尖,18
耿耿,17
影视,17
学霸,16
甜,16
李尖,16
看到,16
💙,16
梦想,15
有点,14
已经,14
感动,14
这部,14
骑,13
社会,13
xwz,13
里,13
梦,13
感觉,13
真是,12
小剑,12
再,12
曾行,12
最,12
卧底,12
故事,12
阚,12
少年,12
实现,12
一起,11
知道,11
大赏,11
妈妈,11
小,11
爸爸,11
北大,10
追,10
人狠话,10
花絮,10
哈哈哈,10
眼神,10
时,10
吃,10
觉得,10
挺,10
集,10
霸气,10
面对,9
猛回头,9
真实,9
值得,9
今晚,9
恋爱,9
tsy,9
努力,9
冬冬,9
cp,8
伤,8
担心,8
榜,8
暖,8
心里,8
高考,8
奶奶,8
达,8
样子,8
影视圈,8
希望,8
妹妹,8
总是,8
演员,8
精彩,8
成为,8
美好,8
优秀,8
缘分,8
•,8
撩,7
够,7
酒瓶,7
心爱,7
可爱,7
默默,7
永远,7
生活,7
感,7
穿,7
女孩子,7
坚持,7
O,7
继续,7
快乐,7
姐姐,7
出现,7
剧中,7
剧综汇,7
饰演,7
大学,7
面前,7
嗑,6
送,6
男友,6
半是,6
砸,6
成,6
大哥,6
扛,6
年代,6
找,6
期待,6
娱乐,6
温暖,6
误会,6
马达,6
合不拢嘴,6
一直,6
帅,6
北京电影学院,6
走,6
后,6
身上,6
原来,6
名,6
守护,6
混,6
这段,6
演过,6
好看,6
最后,6
男,6
结局,6
演技,6
小姐姐,6
独立,5
少女,5
大姐大,5
气势,5
独播,5
抢先,5
一天,5
资讯,5
考试,5
剧场,5
暗恋,5
女孩,5
温柔,5
演了,5
坐,5
浪里,5
礼物,5
哈哈哈哈,5
今天,5
比心,5
在线,5
这是,5
一点,5
干,5
搜,5
摩托车,5
快点,5
笑,5
新剧,5
️,5
长沙,5
这种,5
秒,5
姑娘,5
父母,5
母亲,5
明星,5
正义,5
应该,5
摩托,5
汇剧,5
V,5
势力,5
预告,5
跑,5
把子,5
一次,5
甜甜的,5
家庭,5
地方,5
场面,5
保护,5
发现,5
天天,5
段,5
现场,5
手,5
男人,5
学习,5
痞帅,5
剧情,5
那种,5
圆,5
帮,5
一种,5
牌子,5
青梅竹马,4
上线,4
全网,4
VIP,4
会员,4
不想,4
世界,4
糖,4
CP,4
约,4
想要,4
剧集,4
混混,4
入警,4
gai,4
新,4
最靓,4
片场,4
拥有,4
一颗,4
一千零一夜,4
是不是,4
帅到,4
搓,4
长大,4
人生,4
超前,4
好好,4
身份,4
力,4
想法,4
真正,4
锦鲤,4
❤,4
早安,4
看看,4
贴,4
内地,4
这次,4
整个,4
越,4
家人,4
错过,4
20,4
离家出走,4
杂志,4
封面,4
选择,4
一定,4
东西,4
天,4
一部,4
绿茶,4
想到,4
吃饭,4
每个,4
展现,4
电影,4
记,4
啊啊啊,4
爱情,4
之间,4
耍,4
突然,4
戏外,4
加油,4
太帅,4
仿佛,4
莫名,4
超级,4
拽,4
之后,4
现实,4
生日礼物,4
下,4
圆满,4
松韵,4
众人,3
考,3
蜜糖,3
使徒,3
行者,3
瞄准,3
怒,3
狠话,3
理解,3
循环,3
宠爱,3
感情,3
和易,3
在一起,3
狠人,3
洲,3
路上,3
头,3
我小剑哥,3
街,3
疼,3
岁,3
名字,3
欧,3
不让,3
害怕,3
之前,3
跳舞,3
这条,3
酱,3
不好,3
比赛,3
第一名,3
迷魂,3
追爱,3
载,3
感受,3
手电筒,3
君,3
眼睛,3
存在,3
星,3
前行,3
快手,3
星光,3
有人,3
剧透,3
奥特曼,3
式,3
导演,3
街霸,3
一看,3
爆炸,3
预告片,3
未来,3
做梦,3
小手,3
夏天,3
日子,3
男生,3
好剧,3
一家,3
人设,3
姐妹,3
朋友,3
办法,3
说出,3
学渣,3
阿飞,3
兄弟,3
帮忙,3
用心,3
工作室,3
站,3
还好,3
鳜鱼,3
灵魂,3
幸福,3
两个,3
麻洋,3
吻,3
戏,3
风靡,3
一视,3
闻,3
确实,3
一笑,3
超甜,3
外表,3
执念,3
最好,3
之名,3
甜虐,3
成功,3
女主,3
杨,3
讲,3
80,3
出生,3
回到,3
没能,3
过生日,3
遇到,3
小混混,3
顺利,3
善良,3
励志,3
女明星,3
X,3
录制,3
嘉宾,3
算是,3
主演,3
三观,3
大众,3
事,3
好虐,3
真,3
分,3
银幕,3
北影,3
一分钟,3
充满,3
选录,3
搞笑,3
enjoy,3
骑上,3
嫌弃,3
李叔,3
完成,3
演,3
相依为命,3
今日,3
糖分,3
超,3
热血,3
安全,3
欺负,3
马晓晓能,3
地位,3
恭喜,3
疯狂,3
获得,3
拍,3
手里,3
圈内,3
偶像,3
忘,3
和晓晓,3
以后,3
依然,3
派,3
一条,3
感谢,3
打架,3
黑帮,3
丝毫,3
戏里,3
牛俊峰,3
事情,3
澡堂,3
小时候,3
马骁骁,3
老师,3
双,3
偷钱,3
抡,3
高,3
小宝,3
女儿,3
画面,3
时刻,3
粤语,3
厉害,3
只差,3
抢,3
手指,3
意难平,3
也许,3
展现出,3
不错,3
安排,3
几个,3
巧合,3
剧里,3
呜呜,3
真好,3
专门,3
芒果,3
替晓晓,3
女,3
马晓晓都,3
关门,3
变成,3
Forget,3
Forgive,3
乐队,3
期望,2
却是,2
造型,2
最近,2
如意,2
芳霏,2
明月,2
曾照,2
江东,2
寒,2
胆,2
碾压,2
气死,2
接受,2
新歌,2
K,2
欢迎,2
26,2
家,2
zz,2
送马晓晓,2
报送,2
锁定,2
明明,2
快快,2
评论,2
狮子,2
守护者,2
参与,2
官微,2
取得,2
信任,2
专业户,2
25,2
经历,2
安心,2
实在,2
混着,2
编剧,2
一身,2
仔,2
花花,2
清晨,2
正,2
一段,2
给晓晓,2
醉酒,2
过分,2
心灵,2
相信,2
oh,2
越过,2
拥抱,2
意义,2
黑夜,2
夜空,2
最亮,2
请,2
黑暗,2
call,2
头上,2
剧探,2
出国,2
问,2
一句,2
晶晶,2
天眼,2
黑鹰,2
挑衅,2
临危不惧,2
死死的,2
细节,2
男孩子,2
热,2
陪,2
网页,2
链接,2
播出,2
闪耀,2
灯,2
风,2
文案,2
来自,2
反正,2
老二,2
骗,2
忽然间,2
插曲,2
穿着,2
美景,2
戴,2
不行,2
马晓晓是,2
谈恋爱,2
观众,2
只能,2
平时,2
关键时刻,2
影像,2
家里,2
有个,2
晚,2
操,2
碎了心,2
吖,2
脸,2
晕,2
事件,2
鱼,2
保送,2
复试,2
两,2
小姐,2
便利,2
黑老大,2
跟晓晓,2
热剧,2
男神,2
90,2
香,2
点,2
相当,2
牛,2
国产,2
控制,2
镜头,2
说了算,2
娥眉,2
倾城,2
磕个,2
容易,2
两人,2
甜蜜,2
同框,2
搭,2
3000,2
遍,2
找回,2
初夏,2
帅气,2
更是,2
能否,2
早已,2
心动,2
有勇有谋,2
面包,2
VV,2
刘老师,2
小朋友,2
一家人,2
猫,2
封面女郎,2
