word,val
钟汉良,2274
街舞,1221
哇挖酷宝,235
锦心似玉,147
王嘉尔,142
张艺兴,137
队长,131
徐令宜,125
粉色,118
战队,118
音乐,113
黄渤,113
觉得,112
表现,111
勇气,111
王一博,104
看到,88
加油,84
最后,82
侯爷,81
西装,79
期待,79
参加,76
听,76
找,75
强,75
选手,75
100,75
后,74
网友,74
服气,74
了不起,74
皮筋,74
号,74
明星,74
血缘,74
眼睛,74
眨巴,74
口袋,74
北音,74
海选,74
曾智頔,74
林梦,74
梦迪,74
腾仔,74
想着,74
笑,60
喜欢,58
小,56
太,56
综艺,56
再,54
zhl,52
今天,52
优酷,52
小哇,51
节目,51
死,51
毛巾,50
哥哥,50
最,49
棒,48
好看,47
大型,46
老师,46
昨天,46
穿,45
晋级,44
x,44
星闻,44
夏天,44
加盟,43
可爱,43
赶紧,43
便是,43
一定,42
支持,42
每天,41
8.3,40
状态,40
学,40
感谢,40
肉,40
点评,39
W,39
良,39
家族,39
已经,39
真是,39
忙,39
一把,39
大将军,39
一些,39
娱乐,39
图源,39
一天,39
动作,39
结束,39
日常,39
一身,39
北京,39
里面,38
生活,38
之前,38
妈妈,38
精神,38
作业,38
成功,38
英俊潇洒,38
猜,38
榜,38
天,38
好像,38
认识,38
舞者,38
舞台,38
男人,38
明日,38
之子,38
乐队,38
佩服,38
收,38
街道,38
发布,37
头条,37
文章,37
转圈圈,37
很难,37
心动,37
剧,37
淘,37
APP,37
花式,37
舞技,37
没错,37
N,37
机,37
系,37
团扇,37
阳刚,37
气质,37
风度翩翩,37
美少年,37
水印,37
水,37
燃炸天,37
赏心悦目,37
机器人,37
神吐槽,37
誓要,37
见到,37
龙哥,37
中国,37
文字,37
默契,37
漫游,37
记,37
东方,37
美学,37
猫叫,37
版,37
SLY,37
小姐姐,37
情缘,37
真是太,37
奇妙,37
LAnty311,37
微,37
公众,37
签到,37
寻艺,37
权力,37
粉嘟嘟,37
几档,37
热门,37
朴树,37
郎朗,37
周震南,37
邓紫棋,37
欧阳,37
娜娜,37
周迅,37
大张伟,37
张,37
亚东,37
马东,37
元气,37
满满的,37
王鹤,37
棣,37
王彦霖,37
杨洋,37
陈学冬,37
黄明昊,37
情有,37
读钟,37
书虫,37
打卡,37
469,37
读是,37
枝裕,37
如父,37
如子,37
良多,37
兴奋,37
父子,37
二人,37
交集,37
容貌,37
依旧,37
相像,37
强大,37
构造,37
方面,37
受到,37
影响,37
庆多,37
耳语般,37
轻声,37
呼唤,37
闪耀着,37
喜悦,37
光彩,37
琉晴,37
全身,37
黄渤谈,37
实话,37
联系,37
整季,37
捡起来,37
面对,37
很棒,37
不敢相信,37
40,37
空口无凭,37
有缘,37
圆,37
为证,37
关键时刻,37
能够,37
钟队,37
这动图,37
以后,37
懂,37
明天,37
周一,37
狼贼,37
提前,37
交斗图,37
新闻,37
近日,37
由王,37
一博,37
担任,37
选拔,37
类,37
真人秀,37
现代,37
研修,37
学院,37
BIG,37
D,37
James,37
名,37
学子,37
入围,37
清醒,37
迷糊,37
清楚,37
我会,37
放进,37
拼到,37
一秒,37
争取,37
一条,37
其他人,37
干什么,37
不大清楚,37
好多,37
地方,37
旁边,37
打气,37
鼓励,37
知不知道,37
嘉,37
注定,37
粉红,37
泡泡,37
填满,37
可甜,37
咸,37
火锅,29
一起,24
少年,23
之名,23
跳,23
努力,22
吃,20
录制,16
舞蹈,15
路透,13
20200803,13
好帅,13
有点,13
cr,13
摇起来,13
兰心蕙,12
质,12
Goddess,12
作品,12
一次,12
扇子,12
自然,12
想,11
苏恋雅,11
中,11
知道,11
现场,10
第三期,10
钟,10
实力,10
香菜,9
晚上,9
真,9
热,8
四个,8
信物,8
黄,8
型,8
吃火锅,8
battle,8
看着,8
路,8
点,8
抢,8
西服,8
?,8
回忆,8
空调,7
自律,7
记得,7
理想,7
许多,7
跟着,7
偶像,7
跳过,7
白菜,7
最近,7
是不是,7
UNIQ,7
问,7
不够,7
评论,7
特别,7
表情,7
正,7
斗舞,7
新浪,7
直言,7
四位,7
那种,7
运动,7
印象,7
舞,6
醋,6
?,6
葱,6
同款,6
回复,6
长腿,6
帅哥,6
配图,6
坐等,6
当之无愧,6
版本,6
预告,6
神秘,6
嘉宾,6
摘下,6
面具,6
答案,6
呼之欲出,6
神级,6
惊到,6
高高,6
疯掉,6
争夺,6
复活,6
名额,6
大战,6
一触即发,6
抓住,6
机会,6
明晚,6
揭晓,6
重出江湖,6
支舞,6
扇,6
奇怪,6
哪有,6
原来,6
里,6
走,6
自带,6
四季如春,6
路人评,6
感叹,6
重新认识,6
圈粉,6
随身带,6
算是,6
人粉,6
感官,6
有剧,6
明白,6
利索,6
不爱,6
说话,6
说不清楚,6
凑,6
挖酷,6
宝钟,6
搬个,6
板凳,6
撩,6
船到桥头,6
直,6
人到,6
瘦,6
帅哥哥,6
上班,6
没人敢,6
公认,6
强者,6
满屏,6
大长,6
腿,6
揭秘,6
呼和浩特,6
这身,6
片中,6
飞行,6
导师,6
帅气,6
热不热,6
春天,6
花,6
撑,6
文案,6
腦海裡,6
畫,6
图编,6
蝴蝶,6
vv,6
爱哇,6
透过,6
表面现象,6
感受,6
深层,6
境界,6
悟性,6
一颗,6
通透,6
心,6
超常,6
领悟力,6
感知力,6
情力,6
街,6
评判,6
时有,6
点睛,6
处,6
虽言少,6
但入,6
精髓,6
仔细,6
品味,6
解读,6
受益匪浅,6
2020,5
跳舞,5
爱,5
哇哇,5
感觉,5
继续,5
注意,4
年度,4
燃炸,4
小哇哥,4
今晚,4
菜单,4
超级,4
打榜,4
依然,4
营业,4
最最,4
万,4
美貌,3
菜,3
喜歡,3
行程,3
男,3
好好,3
外套,3
UNO,3
宝贝,3
脑袋,3
开心,3
歌,3
太阳,3
TI,3
爵士,3
秒,3
拍,3
弟弟,3
太会,3
长沙,3
了解,3
我哥,3
直播,3
粉嫩,3
调皮,3
心疼,3
完,3
晚安,3
最好,3
wow,3
get,3
菠菜,3
天天,3
一句,3
皇家,3
应该,3
人生,3
站,3
时,3
请,3
以前,3
漢良,3
网页,3
链接,3
?,3
魅力,3
演唱会,3
粉,3
帅,3
身边,3
渤哥,3
发布会,3
红毯,3
贴,3
今日,2
偶像剧,2
投,2
趋势,2
焱,2
酷帅,2
萌帅,2
一段,2
愛,2
回家,2
嘴瓢,2
花絮,2
脱掉,2
品牌,2
大使,2
摇摇,2
今年,2
啊啊啊,2
听到,2
滴,2
敲级,2
幸福,2
直接,2
渤,2
下,2
太帅,2
查看,2
图片,2
之后,2
惊喜,2
皮肤,2
手机,2
能量,2
终于,2
实在,2
四字,2
前,2
两季,2
厉害,2
电,2
朋友,2
每次,2
几天,2
突然,2
徐侯爷,2
温柔,2
比赛,2
东西,2
阿姨,2
问出,2
穿肉,2
熬夜,2
跳街舞,2
11,2
目前,2
场面,2
好听,2
抱,2
坚持,2
一直,2
最帅,2
豆腐,2
艺兴,2
串烧,2
错过,2
需要,2
话,2
米奇,2
比心,2
臭豆腐,2
无比,2
美味,2
一层,2
太棒了,2
队员,2
美素,2
佳儿,2
招募,2
保护,2
力,2
?,2
玖,2
姑娘,2
一枚,2
弹幕,2
欢聚,2
ZHL,2
每日,2
奇书,2
生命,2
讲,2
味道,2
豆豆,2
打动,2
假,2
表演,2
上线,2
灵魂,2
熟悉,2
Bboy,2
?,2
王嘉爾,2
鍾,2
時候,2
蘸,2
料,2
皮皮,2
萝卜,2
分享,2
戴戴,2
popping,2
优雅,2
百老汇,2
重要,2
精彩,2
数据,2
跳转,2
支,2
fu,2
宝,2
天涯,2
黑客帝国,2
杀,2
十谷米,2
健康,2
新,2
一周,2
节目组,2
想念,2
确实,2
认真,2
唱,2
粤语歌,2
不错,2
最佳,2
亮相,2
腾讯,2
播出,2
暖,2
