word,val
张艺兴,2340
努力,1341
街舞,1302
zyx,329
KRUMP,244
治愈,188
独角兽,187
莲,181
新专辑,164
一起,136
队长,133
lay,132
钟汉良,127
小,107
跳,106
大使,101
清唱,99
运动,97
综艺,96
粤语歌,96
呜呜,89
可爱,87
honey,87
太,84
pd,84
王一博,79
王嘉尔,76
艺兴,74
积分,70
今天,66
现场,65
优酷,64
姐姐,62
小羊,62
真的,61
讲,60
年代,57
金曲,57
欢欢,57
骄傲,57
两个,57
尖叫,57
歌单,56
少年,55
制作,54
哈哈哈,53
之名,52
爱,50
唱,50
音乐,49
j5,48
知道,46
一颗,44
火锅,44
航海,44
rp,43
200803,42
拍,42
第一,41
里,41
秒,40
不愧,40
片段,40
甜菜,39
黄渤,38
bot,38
好听,37
第二期,37
互助,37
炸,37
时间,36
感觉,35
工作室,35
开心,35
孩子,35
贝壳,35
渤哥,35
帽子戏法,35
吃,34
应援,34
?,33
张,33
老师,33
百度,33
8.3,33
I,33
分享,33
想,32
长沙,32
粤语,32
世界,32
Cr,32
温柔,32
得到,32
加油,32
好像,32
分,32
说话,31
话,31
看看,31
台台,31
krump,31
先生,31
话题,31
台下,31
吃火锅,30
轰,30
趴馆,30
肉,30
流行,30
怀旧,30
态度,30
哥哥,30
跟着,30
团建,30
the,30
笑容,30
超级,30
需要,30
热情,29
好想你,29
90,29
港台,29
清脆,29
唯,29
地图,29
绿色,29
出行,29
好奇,29
童年,29
声音,29
节奏,29
榜,29
穿着,29
挺,29
隔壁,29
以前,29
想法,29
Honey,29
一期,29
太酷,29
皆,29
耳朵,29
全体,29
长,29
这波,29
精选,29
指南,29
大神,29
动听,28
明显,28
进步,28
太多,28
迅速,28
回忆起,28
繁荣昌盛,28
藏,28
随口,28
发音,28
肯定,28
福,28
这句,28
观众,28
晚餐,28
糖葫芦,28
铜锅,28
涮,28
逛一逛,28
胡同,28
游,28
鼓楼,28
逗逗,28
小猫,28
温暖,28
规则,28
兔崽子,28
本事,28
天才,28
寿光市,28
嗨,28
摇摆,28
整得,28
8.4,28
借由,28
哗众取宠,28
方式,28
争取,28
认同,28
语录,28
来点,28
呜张,28
这身,28
am,28
Lit,28
为啥,28
我会,28
露出,28
姨妈,28
般的,28
奶凶奶,28
凶,28
