word,val
上海广播电视台,632
上海,506
在一起,382
出品,214
5G,210
传媒,196
影视,193
电信,191
三千,190
兆,190
单元,186
媒体,175
东方,173
千兆,171
直播,165
卫视,161
抗疫,156
共同,152
集团,143
题材,141
频道,140
耀客,139
网络,139
拍摄,137
影业,130
主演,129
剧,127
时代,126
尚世,126
新闻,122
夜生活,114
节,114
正在,112
广播,108
支持,107
文化,102
编剧,101
现场,97
报告,96
中国,91
有限公司,90
中,90
生命,89
拐点,85
故事,82
中心,80
探班,78
导演,76
耀启,76
全国,69
2020,67
北京,67
周一围,66
执导,65
开机,65
分享,65
张嘉译,65
谭卓,65
完美,64
SMG,62
集,60
代表,60
无锡,60
联合,59
10,58
节目,57
走进,57
感受,57
宽带,57
WiFi,57
夜市,57
实现,57
播出,56
全,56
资讯,56
新,55
国家广电总局,53
O,53
开播,50
主创,48
党员,48
电视,47
打造,47
电梯,47
摆渡人,47
张天爱,46
高清,46
已,45
下,45
纪录片,45
电影,45
风云榜,45
首发,44
宣传部,44
上海市,44
18,44
发布,43
上海市委,42
融,42
届,41
目前,41
疫情,40
记录,40
空中课堂,40
紧张,40
专业,39
创作,38
教育,38
新剧,38
商务印书馆,38
传承,38
尽览,38
覆盖,38
逛,38
流畅,38
美食,38
国家,37
献礼,37
合作,37
在家,35
平台,34
最,34
已经,34
简称,34
台,34
该剧,34
旗下,34
交流,34
刘江,34
指导,33
举行,33
黄晓明,33
建党,33
演员,33
抗疫剧,33
主持人,33
100,32
计划,32
静安区,32
25,32
光荣,32
梦想,32
近日,31
周年,30
工作,30
推出,30
开学,30
第一课,30
14,30
制作,29
期间,29
静安,29
纪实,28
张黎,28
医院,28
创业,28
主流,28
20,28
平凡人,27
广电,27
担任,27
梁,27
振华,27
董哲,27
韩晓军,27
Crystal,27
热拍,27
值得,27
看看,27
预告,26
来自,26
综合,26
举办,26
加装,26
年代,26
全新,26
李小冉,26
精彩,25
广播电视局,25
功勋,25
今天,25
品牌,25
先后,25
总队,25
关注,25
⚡,25
相关,24
一起,24
行动,24
首播,24
曾,24
主办,24
上海音乐学院,24
云端,24
正式,24
片花,24
周总理,24
难,24
赵宁宇,24
自治,24
蓬瑞,24
张,24
孟美岐,24
崇明,24
参与,24
长效,24
在线教育,24
暑假,24
卫健委,23
讲述,23
信息,23
市,23
浙江,23
两个,23
歌剧,23
番茄,23
天地,23
一线,23
责任,23
文广,23
预告片,22
传播,22
前,22
老房,22
23,22
12,22
何婕,22
今日,22
社区,22
人间,22
委员会,21
沈严,21
解读,21
上线,21
装,21
今年,21
首部,21
过程,21
期待,21
同步,21
仪式,21
4K,21
团委,21
进行,21
内容,20
领导,20
每晚,20
国际,20
夜,20
前往,20
照片,20
志愿者,20
清,20
腾讯,20
连续,20
主要,20
消息,20
接受,20
原创,20
公共安全,20
执牛耳,20
青年,20
街道,20
紧锣密鼓,20
重磅,20
面对面,20
无法,20
拉开帷幕,20
公开,20
本次,20
书店,20
运用,20
麦,20
最近,20
音乐,20
挺身而出,19
这是,19
真实,19
奖项,19
东方明珠,19
签署,19
优秀,19
曹可凡,19
原址,19
革命,19
新时空,19
We,19
课,19
宝山路,19
曾经,19
臧熹,19
白领,19
老一辈,19
坚守,19
新一代,19
初心,19
委副,19
不在,19
打开,19
Knews,19
客户端,19
喧闹,19
纷繁,19
生活气息,19
风采,19
一缕,19
烟火,19
信号,19
满格,19
记得,19
上次,19
爸爸,19
逛街,19
现已,19
看过,19
何不,19
陪,19
老爸,19
感受一下,19
极速,19
5g,19
网速,19
不卡顿,19
王源,19
全开,19
smg,19
旗舰,19
出现,19
低级,19
失误,19
原谅,19
制片人,19
监制,19
人员,19
负,19
立足,19
面向世界,19
态度,19
水准,19
丢脸,19
滚出来,19
道歉,19
618,19
超级,19
秀,19
创始人,19
杨文红,19
密切相关,19
资料,19
显示,19
创立,19
兴格,19
要职,19
典型,19
体制,19
出走,19
潘粤明,19
童瑶,19
官博,19
方在,19
座谈会,19
众,19
座谈,19
融屏,19
青岛,19
何蓝,19
逗,19
采访,19
角色,19
拍,19
时评,19
曝光,19
玩转,19
精彩纷呈,19
首届,19
技术,19
加持,19
TVU,19
背包,19
享受,19
花灯,19
打开方式,19
周末,19
玩,19
直播间,19
嗨,19
联手,19
潮流,19
集市,19
深夜,19
打烊,19
博物馆,19
奇妙,19
百变夜,19
之美,19
扫码,19
即可,19
体验,19
广播节目,18
城市,18
方式,18
影视剧,18
最佳,18
见证,17
电视台,17
讲好,17
郭涛,17
活动,17
