word,val
在一起,1297
评论,876
收藏,873
com,873
转发,872
https,872
weibo,872
refer,872
flag,872
1001030103,872
10,655
卫视,315
江苏,260
幸福,202
剧场,197
07,163
20,158
武汉,133
优酷,133
疫情,131
09,116
口罩,112
21,104
哭,99
02,99
01,98
抗疫,98
03,98
人数,98
超过,97
06,96
转赞,96
05,92
,86
邓伦,84
30,84
杨洋,83
真的,83
真实,82
15,82
19,81
今天,80
2106814244,77
13,70
致敬,67
医护人员,66
中,66
04,64
1575527140,64
18,63
英雄,63
雷,61
17,60
佳音,60
看到,60
方舱,60
22,59
单元,58
演员,58
12,57
影视,57
故事,56
小,55
小强,55
23,55
同行,54
11,52
感动,51
大连,50
14,49
太,49
宋,48
16,47
里,47
最,46
平凡,46
剧,46
想,46
梅,45
感谢,42
广东,41
00,40
1642904381,40
娱乐圈,40
知道,39
冯绍峰,38
外卖,37
电影,36
太好,36
院长,36
山,36
摆渡人,36
期间,35
24,35
一起,35
所有,35
08,35
时,35
医生,35
火神,35
中国,34
海清,34
医院,34
辜勇,34
爱,33
希望,33
患者,33
爱华,32
救护,32
倪妮,31
每个,31
瑜,31
小哥,30
黄景,30
导演,30
靳东,30
关注,29
加油,29
今晚,29
工作,29
铎,29
演技,28
李,28
O,27
喜欢,27
觉得,27
李沁,27
主任,26
朱亚文,26
胡,26
34,25
感觉,25
这部,25
传媒,24
45,24
一部,24
当时,24
36,24
时间,24
生命,24
儿子,24
耀客,23
拍,23
饰演,23
后,23
陈数,23
乐彬,23
温暖,22
3171929331,22
老板,22
生活,22
伟大,22
50,22
一直,22
集,22
28,21
V,21
赵今,21
恐惧,21
演,21
26,21
坚持,21
下,21
付出,21
医护,21
害怕,21
工作者,21
期待,21
病人,20
前,20
好看,20
已经,20
追剧,20
麦,20
面对,20
认真,20
剧集,20
抢救,20
朝阳,20
逆,20
行者,20
陈如,20
荣耀,19
吃,19
眼泪,19
奶奶,19
手写,19
时代,19
题材,19
最后,19
小时,19
心疼,19
35,19
纪录片,19
决定,19
😭,19
特别,18
影视剧,18
完,18
医疗队,18
宣言,18
再,18
经历,18
孙俪,18
41,18
25,18
最美,18
一定,18
情感,18
Johnny,18
2695071834,18
勇敢,18
一线,18
荣意,18
33,17
事,17
发现,17
一次,17
39,17
去世,17
31,17
情绪,17
播出,17
讲述,17
需要,17
帮,17
急先锋,17
1688891487,17
陆,17
分,17
发布,16
永远,16
两集,16
43,16
努力,16
音乐,16
这是,16
报告,16
47,16
终于,16
️,16
59,16
平凡人,16
40,16
32,16
事情,16
发生,16
情况,16
搜索,16
逆行,16
哥哥,16
一天,15
找,15
城市,15
37,15
感染,15
生产,15
55,15
最近,15
这场,15
剧情,15
挺身而出,15
选择,15
力量,15
第一,15
妈妈,15
