word,val
传媒,21
有限公司,15
出品,14
尚世,11
影视,10
电影,8
联合,6
星合,5
上海,4
爱情,4
江西,4
星河,4
制片人,4
狄仁杰,4
声音,4
月初,3
侦查,3
公司,3
杭州,3
时间,3
拍摄,3
北京,3
李德,3
之异虫,3
谜案,3
影视文化,3
独家,3
上映,3
嘉行,3
中国,2
在一起,2
抗疫,2
股份,2
SMG,2
投资,2
谎言,2
信任危机,2
之后,2
反,2
都市,2
引发,2
开机,2
周期,2
天,2
2019,2
11,2
功常,2
导演,2
30,2
北京华,2
赣,2
国际,2
古装,2
IP,2
启蒙,2
杨琪芳,2
姜振昊,2
刘奕,2
悬疑,2
浙江,2
亚洲,2
微,2
―,2
炒作,2
影视网,1
陈道明,1
抗疫剧,1
登微,1
博热,1
搜,1
第一,1
表示,1
假消息,1
今年,1
筹备,1
介绍,1
该剧,1
期间,1
各行各业,1
真实,1
原型,1
人物,1
故事,1
基础,1
塑造,1
一线,1
可歌可泣,1
平民,1
英雄,1
群像,1
上海广播电视台,1
耀客,1
尚世影,1
产业,1
殷允,1
奉义,1
城市,1
感情,1
恋爱,1
很久,1
情侣,1
郑素,1
雨,1
车俊,1
一次,1
制造,1
两人变,1
身为,1
进行,1
行动,1
爱,1
使命,1
银润,1
丰益,1
制作,1
情感,1
丁,1
小雨,1
车军,1
相爱多年,1
夫妻,1
成,1
特工,1
侦察,1
大战,1
泰安,1
墨石,1
山泉,1
饮用水,1
福田,1
花园,1
店,1
角色,1
现代,1
短剧,1
朋友,1
圈儿,1
里,1
男朋友,1
项目,1
题材,1
爱情喜剧,1
东阳,1
玩家,1
2020,1
下旬,1
20,1
拟,1
地点,1
宁波,1
无锡,1
晶灿,1
传播,1
南京,1
瓦西,1
通影,1
喜剧电影,1
戏,1
笑江湖,1
近日,1
正式,1
宣布,1
定档,1
22,1
欢迎,1
走进,1
电影院,1
一起,1
欣赏,1
梦想,1
美丽,1
武松,1
开拍,1
招募,1
演员,1
详细,1
组讯,1
如图,1
出品人,1
肖志鹏,1
编剧,1
边力扬,1
赵聪,1
慈文,1
集团,1
尚世传媒,1
血汗钱,1
环铁,1
艺术,1
城,1
O,1
网页,1
链接,1
网络,1
10,1
中文名,1
主,1
演程,1
201,1
西域,1
妖姬,1
今日,1
爱奇艺,1
平台,1
讲述,1
一条,1
红绸,1
大唐,1
外交,1
危机,1
影片,1
映美,1
宣传,1
王威,1
执导,1
功,1
常任,1
程,1
主演,1
一部,1
新颖,1
尚世应,1
学院,1
邀请,1
浙传,1
一期,1
专访,1
开心,1
一群,1
朝气蓬勃,1
95,1
同学们,1
交流,1
传播者,1
致力于,1
推广,1
在生活中,1
应用,1
范围,1
玩儿,1
专业,1
下沙,1
第五届,1
艺术节,1
暨,1
金,1
海棠,1
奖,1
揭晓,1
颁奖,1
致壹,1
超凡,1
斗灵师,1
包揽,1
优秀作品,1
优秀,1
十佳,1
三项,1
大奖,1
感谢,1
主办方,1
募集,1
资金,1
和尚,1
世,1
影业,1
签,1
赌,1
协议,1
承诺,1
2015,1
2017,1
实现,1
累计,1
税后,1
净利润,1
低于,1
3.1,1
完,1
目标,1
回购,1
嘉兴,1
加紧,1
颜值,1
人气,1
变现,1
by,1
某知乎,1
er,1
好好,1
dlrb,1
硬是,1
嘉,1
造成,1
路人,1
眼中,1
蹭,1
热度,1
女王,1
姐妹,1
功不可没,1
