word,val
尚世影业,437
出品,211
上海,188
影视,155
传媒,144
联合,107
中国,100
有限公司,99
主演,87
O,84
公司,80
编剧,77
电影,74
剧,72
哔哩,70
开机,67
该剧,62
东方,61
东方明珠,60
SMG,59
影业,59
卫视,57
导演,57
在一起,54
执导,54
拍摄,51
网页,49
中,49
链接,48
投资,48
新,47
集团,44
讲述,43
集,43
共同,42
故事,42
题材,40
成立,40
演员,38
期待,38
北京,37
合作,37
传播,37
靳东,37
时代,36
都市,36
上海广播电视台,33
小说,33
后,33
如歌,32
嘉行,31
文化,31
发布会,31
百视通,31
今日,30
热巴,30
耀客,29
烈火,29
娱乐,28
播出,28
五岸,28
股权,28
求婚,28
同名,27
近日,27
已,27
旗下,27
作战,27
文广,27
世界,26
制作,26
迪丽,26
发布,25
宣布,25
媒体,25
30,25
正式,24
小,24
登陆,24
10,23
腾讯,23
新剧,23
正在,23
打造,23
计划,23
迪士尼,23
合并,23
抗疫,22
报告,22
举行,22
站,21
项目,21
电视,21
爱情,21
单元,21
影片,21
文化传媒,21
最,21
优酷,21
股东,21
改编,20
,20
一部,20
浮出,20
水面,20
B,19
下,19
出演,19
情感,19
陈,19
关注,19
传视,19
张嘉译,19
2016,19
启动,19
国际,19
12,19
携手,19
诞生,19
日剧,19
购物,19
股份,18
领衔主演,18
老中医,18
两个,18
改编自,18
版,18
20,18
此次,18
上映,18
发行,18
15,18
全国,18
内容,17
发展,17
探班,17
谍战剧,17
2015,17
江南,17
大丈夫,17
资产,17
千亿,17
时间,16
阵容,16
完美,16
富士,16
一年,16
苏晓,16
指导,15
2019,15
曝光,15
这部,15
首次,15
21,15
转让,15
200,15
幸福,14
总,14
参与,14
成为,14
航空工业,14
佳音,14
新闻,14
广电,14
拍,14
创作,14
2017,14
亮相,14
电影节,14
亿元,14
经典,14
青春,14
恋爱,14
互动,14
上市公司,14
国家,13
定档,13
演绎,13
黄金档,13
中心,13
雷,13
投,13
今天,13
互联网,13
蒋雯丽,13
亿,13
紫川,13
日本,13
电视台,13
明年,13
注入,13
好莱坞,13
A股,13
宣传部,12
