word,val
琉璃,500
司凤,350
璇玑,280
成毅,270
袁冰妍,260
虐,133
喜欢,111
妖,88
甜,90
公主,87
剧本,86
衣服,85
脑子里,85
一起,77
想,76
战神,72
搂,71
紧,71
糖,71
有点,71
鸟,66
金,64
赤,64
真的,64
哈哈哈哈,64
弹幕,63
导演,60
热剧,59
那种,59
他俩,58
捅,57
汇剧,57
V,57
势力,57
离泽宫,57
气死,57
师兄,56
一报,56
穿,56
换,56
前,56
拉回来,56
侬,56
太,54
吻,53
褚,52
笑,50
一定,47
终于,47
知道,47
在线,46
第一次,45
快乐,45
影视,45
不行,44
之后,44
七夕,43
一只,43
下,43
少女,43
七夕节,43
估计,43
每次,43
魔,42
永远,42
杀,42
白色,42
好惨,42
应该,42
坚定,42
昊辰,40
死,36
里,35
初遇,34
戏,34
集,33
啊啊啊,32
哈哈哈,31
画眉,31
两位,31
后面,31
是否,31
日子,31
凤凰,31
所有,31
刘学义,30
后,30
女主,30
追,30
剪辑,30
事,30
良缘,30
原来,30
超甜,30
腿,30
害怕,30
观众,30
单身,30
身材,30
哭,30
打架,29
所有人,29
鸟鸟,29
惨,29
贩卖,29
馆,29
请,29
补补,29
救司凤,29
要生,29
久,29
确实,29
之前,29
齁,29
躺,29
撩剧,29
这是,29
真,29
已经,29
两个,29
×,29
现实,29
一锅炖,29
用来,29
亲,29
送给,29
代入,29
面具,29
上线,29
好不好,29
懂,29
幕后,29
最后,29
剑,28
资讯,28
成亲,28
太会,28
画,28
阿罗,28
娶妻,28
偷换,28
心灯,28
花被,28
护夫狂,28
造型,28
逃,28
没错,28
满脑子,28
动心,28
发个,28
闻,28
汤识面,28
泡剧,28
丫,28
骗,28
继续,28
粉色,28
刘海,28
撩起来,28
我特,28
最虐,28
几十,28
PS,28
一本正经,28
严格,28
为啥,28
没换,28
不造,28
高兴,28
觉醒,28
之力,28
展现,28
毁,28
天灭,28
威能,28
差点,28
颠覆,28
三观,28
两斤,28
大枣,28
不可,28
抑制,28
生血宝,28
血速升,28
益血生,28
喊定,28
坤,28
反应,28
选择,28
偏爱,28
小马,28
同学,28
备忘录,28
一瞬间,28
接吻时,28
感太,28
强烈,28
被昊辰,28
甜死,28
气,28
太不容易,28
司凤怕,28
一幕,28
练习,28
几百遍,28
hhh,28
不敢,28
进后,28
进,28
反复,28
感脚,28
唤以,28
亲亲,28
先,28
闭眼,28
算了,28
负伤,28
床,28
女主献,28
下面,28
过得去,28
主要,28
承诺,28
第十一,28
世了,28
纸片,28
下手,28
扔,28
等璃子们,28
原创,28
寄给,28
古代,28
现代,28
民国,28
跪求,28
合作,28
一次,28
答应,28
剧粉,28
美的,28
被迫,28
星扒唧,28
再紧,28
此刻,28
昊辰兄,28
猫,28
匣子,28
病娇,28
虚弱,28
白衣,28
花钿,28
妖纹,28
时隐时现,28
成婚,28
扯,28
证去,28
成毅乱,28
张馨,28
Mela,28
罗喉计,28
暗恋,28
欣赏,28
大白,28
出戏,28
挨刀,28
可怜巴巴,28
研究,28
道具,28
受得了,28
今天,23
禹司凤,22
好看,21
觉得,19
张予,19
曦,19
美人,18
煞,18
看着,18
演员,18
若玉,18
天界,17
拍,17
害羞,17
娱乐,17
热播,16
温柔,16
深情,16
精彩,16
一世,16
陪,16
超级,16
手,16
我要,16
美貌,16
傻,16
好像,15
舔,15
惊艳,15
剧情,15
跑,15
看得,15
舌吻,15
受伤,15
溺,15
回,15
每日,15
榜,15
离开,15
崩溃,15
‖,15
怼,15
直接,15
泪,15
撑不住,15
红线,15
砍,15
剧爱透,15
台下,15
十年,15
功夫,15
万劫,15
八荒,15
剧综汇,15
太帅,15
一根,15
距离,15
四叶草,15
说话,15
年纪,15
高强,15
心意,15
河边,14
摆,14
支配,14
司凤小,14
身板,14
发抖,14
突然,14
学,14
撒娇,14
画面,14
一度,14
定坤认,14
为主,14
意外,14
暴露,14
镜,14
秘密,14
宝藏,14
创造,14
营,14
影快,14
客,14
耍,14
颜,14
剑法,14
猛回头,14
丨,14
无意,14
摘司凤,14
惊呆,14
发挥,14
最大,14
作用,14
in,14
成,14
天天,14
世上,14
遥远,14
眼睁睁,14
女朋友,14
变成,14
男盆友,14
罗侯计,14
眼中,14
证明,14
爱司凤,14
问题,14
变,14
一湾,14
莲池,14
曾经,14
美丽,14
将军,14
池,14
doge,14
一对,14
情侣,14
无辜,14
两段,14
越来越,14
告白,14
耍赖,14
晕,14
我快,14
宠,14
慢慢,14
太宠,14
司凤好,14
好好看,14
刚刚,14
吃,14
冰镇,14
酒酿,14
喝进去,14
冰冰凉凉,14
醉,14
甜人,14
不紧不慢,14
描述,14
食物,14
味道,14
心情,14
相通,14
处,14
调戏,14
时,14
低头,14
浅笑,14
九奚山,14
雪,14
24,14
网络,14
剧新,14
媒体,14
TOP 5.00,14
宋佳,14
喻恩泰,14
月光,14
朱一龙,14
毛晓彤,14
重启,14
之极海,14
听雷,14
郭涛,14
杨子姗,14
摩天大楼,14
鹿晗,14
吴磊,14
穿越,14
火线,14
最高,14
境界,14
服气,14
蒙,14
叛变,14
小六子,14
信,14
师傅,14
这种,14
傻子,14
同门,14
一条,14
手臂,14
恨,14
白帝,14
别扭,14
件,14
好事,14
护夫,14
早点,14
早,14
切大号,14
取决于,14
抖音,14
完全,14
攻占,14
一刷,14
全是,14
刷,14
心满意足,14
嗑,14
真人,14
妈,14
一冲,14
欢瑞,14
策略,14
养起来,14
再放,14
悄悄,14
众人,14
法力,14
身边,14
全剧,14
最全,14
倒数,14
第二个,14
跺脚,14
鹿白,14
但凡,14
多拉,14
几次,14
小手,14
拉着,14
这句,14
话,14
包含,14
目标,14
明确,14
爱,12
追剧,10
剧,8
玲珑,7
中,7
九世,7
心疼,7
银花,6
可爱,6
影视剧,6
情人,6
咒,6
Mr,5
夫妇,5
cp,5
优酷,5
饰演,4
憨,4
心,4
成为,4
男友,4
演技,4
甜甜,4
柳,4
大哥,4
男主,4
吐血,4
一天,4
拥有,4
恋爱,4
腾蛇,4
白澍,4
帅,4
乌童,4
打开,4
高甜,4
🙈,4
脸,3
卡,3
网友,3
八月,3
十赌,3
九输禹,3
磕,3
追夫,3
T,3
粮,3
行,3
狗,3
上头,3
撩,3
就要,3
乱,3
剧中,3
甜甜的,3
生气,3
片场,3
男女,3
眼睛,3
可怜,3
再也,3
委屈,3
眼神,3
爱情,3
角色,3
点点,3
盼,3
祁,3
希望,3
小姐姐,3
灵兽,3
合集,3
疯,3
开心,3
方式,3
气到,3
水仙,3
哥哥,3
前世,3
今生,3
昨天,2
元神,2
飞,2
钟敏言,2
没得,2
无,2
收,2
蛇,2
擦,2
新剧,2
疯狂,2
一旁,2
地方,2
司风,2
始终,2
禹,2
一角,2
家人,2
之名,2
神医,2
疼,2
一刻,2
珍惜,2
赌,2
上榜,2
直播,2
嘴角,2
放,2
下去,2
意见,2
翅膀,2
抢,2
小说,2
以后,2
图,2
打戏,2
混,2
剪,2
这部,2
女,2
主,2
剧透,2
影视圈,2
不虐,2
别看,2
千里,2
两年,2
以为,2
担心,2
分享,2
天墟,2
堂,2
胸肌,2
饭圈,2
教小,2
诠释,2
哭戏,2
百乐门,2
两集,2
样子,2
看剧,2
伤,2
️,2
赶紧,2
花,2
撒,2
狐狸,2
漂亮,2
特别,2
美,2
天眼,2
淇,2
男主角,2
幸福,2
成毅禹,2
.....,2
紫狐无支,2
重逢,2
猴子,2
姐姐,2
紫狐,2
爆料,2
热,2
眼泪,2
剧迷,2
抱,2
没想到,2
新星,2
涛涛,2
扒料,2
叔,2
急,2
表情,2
场面,2
互动,2
男神,2
会馆,2
公屏,2
打雷,2
眼角,2
木,2
M,2
更新,2
完,2
结婚,2
掌门,2
生死,2
终究,2
错付,2
联盟,2
X,2
🔘,2
仙剑,2
名,2
甜蜜,2
不够,2
偷亲,2
套路,2
长春,2
宁宁,2
前方,2
写,2
最最,2
程度,2
摘,2
接,2
不到,2
一看,2
九生,2
保护,2
司凤伤,2
