word,val
耀客传媒,801
杨洋,687
在一起,645
上海,294
卫视,294
播出,247
剧,200
影业,198
出品,197
素颜,196
出镜,196
眼技,196
东方,196
O,151
时代,149
报告,149
公司,149
尚世,148
影视,148
华策,148
医生,147
下,147
这部,147
戏拼,147
有限公司,147
都市,147
生活,147
生命,147
拐点,147
开播,147
联合,147
真实,103
正午,100
传媒,100
分享,100
头条,100
文章,100
张萌,100
上海广播电视台,99
故事,99
讲述,99
阳光,99
中,99
角色,99
,98
专访,98
尝试,98
第一次,98
能够,98
制作,98
致敬,98
一线,98
青年,98
男女,98
宝贝,98
90,98
黄金档,98
该剧,98
编剧,98
六六,98
黄德毅,98
饰,98
🔒,98
浙江,98
江苏,98
广东,98
今晚,98
演绎,98
29,98
执导,98
️,52
希望,52
靳东,52
抗疫,51
题材,51
想,51
号,51
细节,51
请,51
大连,51
国家广电总局,50
指导,50
国家,50
卫健委,50
上海市委,50
宣传部,50
共同,50
英雄,50
六大,50
作品,50
柠萌,50
新丽,50
近日,50
表示,50
拍,50
公众,50
今日,50
主演,50
出演,50
一句,50
耀客,50
勇敢,50
看到,50
新闻,49
201003,49
公开,49
拼,49
更新,49
一直,49
以来,49
没想到,49
演,49
特殊,49
情况,49
拍摄,49
场景,49
不由自主,49
热泪盈眶,49
演好,49
爱豆,49
APP,49
杨洋乐彬,49
影视剧,49
带给,49
乐彬,49
责任心,49
使命感,49
有大爱,49
作者,49
倒,49
很会,49
家,49
群像,49
I,49
shared,49
s,49
Topic,49
Article,49
宸,49
汐缘,49
入围,49
艾美奖,49
目前,49
国内,49
三足鼎立,49
同行,49
所有,49
奋战,49
疫情,49
医护,49
工作者,49
里面,49
错误,49
卫生,49
健康,49
委,49
温州,49
爱,49
文化传媒,49
爱情故事,49
王迎,49
导演,49
任重,49
游泳,49
曾,49
醍醐,49
贾景晖,49
王倩,49
张嘉译,49
描写,49
现代,49
浪漫,49
现实,49
残酷,49
创业,49
恋爱,49
十三个,49
原因,49
南京,49
天山,49
盛筵,49
要说,49
广播电视局,49
SMG,49
工作室,49
发,49
律师函,49
渐入佳境,49
孟丽,49
定义,49
后辣妈,49
二轮,49
正在,49
河北,49
著名,49
潜心,49
创作,49
70,49
80,49
后,49
夫妻,49
理念,49
人生,49
追求,49
围绕,49
育儿,49
话题,49
一段,49
快意,49
泰州,49
