word,val
王凯,50
节奏,20
宋仁宗,17
正午,16
人,15
剧情,14
好,14
演员,14
太,13
演技,13
张开,13
宙,13
期待,12
拖沓,11
古装,10
道,10
服化,9
展现,9
观众,9
真的,8
阳光,8
台词,8
太慢,8
帝王,7
仁宗,7
两集,7
感觉,7
角色,7
演绎,7
剧,7
戏,6
赵祯,6
哭,6
玉色,6
想,6
说,6
天容,6
知否,6
慢,5
盛世,5
制作,5
历史,5
一点,5
电视剧,5
画面,5
第一集,5
这种,5
宋朝,5
清平,5
完美,5
一代,5
终于,5
最后,5
不错,5
好看,5
故事,5
再,5
品质,4
皇帝,4
太后,4
导演,4
仁,4
cp,4
片花,4
看到,4
好剧,4
大宋,4
仁君,4
舒服,4
一生,4
泪,4
真正,3
诠释,3
古装剧,3
值得,3
追,3
所有,3
69,3
五年,3
吸引,3
睡着,3
大剧,3
风格,3
细腻,3
太子,3
公主,3
服装,3
第二集,3
江,3
官家,3
开头,3
注水,3
表演,3
疏影,3
真,3
没想到,3
后宫,3
清平乐,3
集,3
里,3
预告,3
考究,3
一部,3
狸猫换,3
一直,3
开篇,3
内容,3
精彩,3
感,3
小,3
无聊,3
精良,3
真是,3
最,3
五星,3
冲突,3
北宋,3
为君,3
镜头,3
有力,2
饰演,2
既有,2
父,2
剪,2
大气,2
百姓,2
播出,2
相当,2
这次,2
美,2
唧唧,2
之间,2
行走,2
之上,2
缺少,2
服化道,2
片头,2
大哭,2
看看,2
重回,2
劝退,2
处,2
繁华,2
讲,2
有意思,2
当年,2
眼神,2
交代,2
母子之情,2
比知否,2
演,2
磨磨,2
能够,2
王凯用,2
一集,2
前,2
宋史,2
儒雅,2
做到,2
这剧,2
磨叽,2
天下,2
精美,2
组合,2
质感,2
在线,2
场景,2
明君,2
晏殊,2
敬意,2
差点,2
",",2
适合,2
展示,2
之后,2
笑,2
传奇,2
继续,2
打光,2
没准,2
情感,2
时隔,2
感谢,2
气场,2
刘,2
看困,2
受不了,2
宫廷,2
长大,2
服饰,2
好慢,2
PS,2
直接,2
画卷,2
需要,2
特别,2
后面,2
封建,2
事,2
欣赏,2
怀吉,2
运镜,2
发挥,2
很棒,2
人君,2
帝后,2
男女,2
颜值,2
一段,2
比较,2
气,2
随便,2
追求,2
配乐,2
看得人,2
刘娥,2
构图,2
失望,2
气质,2
有点,2
名臣,2
仁宗朝,2
叙事,2
高级,2
国产,2
古代,2
悠长,1
风华,1
皇上,1
期盼,1
强强联合,1
再次,1
倍速,1
看得,1
静静的,1
唯一,1
背诵,1
买个,1
一堆,1
心疼,1
希望,1
奇奇怪怪,1
无可奈何,1
怯,1
权利,1
尽显,1
这是,1
宋,1
货,1
各人,1
违,1
天命,1
铺开,1
剧慌,1
百灵,1
确定,1
漰,1
更是,1
应该,1
迎合,1
信心,1
前尘往事,1
买,1
欣慰,1
��,1
三个,1
游戏,1
艹,1
皇后,1
东阳,1
长评,1
质量,1
文豪,1
内心,1
窝囊废,1
身为,1
完整,1
为夫,1
王爷,1
挑戏,1
放弃,1
孤独感,1
搭配,1
剧组,1
严重,1
死,1
有凯,1
哈哈大笑,1
美好,1
一观,1
透露,1
以来,1
第二,1
习惯,1
穿越,1
武功,1
作品,1
全文,1
进不去,1
露出,1
时,1
端庄,1
感受,1
伴奏,1
一贯,1
劳驾,1
沉迷,1
垫底,1
谨守,1
暴殄天物,1
复杂,1
哥儿,1
一套,1
念头,1
感到,1
溃,1
一身,1
朝堂,1
他长,1
这家,1
结尾,1
戏剧,1
为仁,1
克制,1
点,1
强强,1
正常,1
气魄,1
起伏,1
昔日,1
眼里,1
讲故事,1
亮点,1
清隽,1
看不下去,1
烂,1
样板,1
周知,1
娓娓道来,1
痴,1
全价,1
人爱,1
加油,1
如履薄冰,1
良心,1
夸特,1
好困,1
一查,1
狗血,1
任敏,1
天盛,1
脸谱化,1
几个,1
选中,1
懂,1
剧能,1
人们,1
男主,1
很绝,1
散装,1
治世,1
今世,1
之责,1
是从,1
年龄,1
刷剧,1
重头戏,1
操作,1
撸,1
节奏快,1
