user,content,collect,forward,comment,like,userUrl
0,湖北日报,【抗疫题材时代报告剧《在一起》大腕云集，预告片就看哭了……】#在一起首发预告# 由国家广电总局指导，国家卫健委和上海市委宣传部支持，上海广播电视台、耀客传媒、尚世影业共同出品的抗疫题材时代报告剧《在一起》发布预告。用一个个温馨故事讲述平凡人的挺身而出，小人物也是大英雄，我们在一起。 展开全文c,收藏,转发 40165,评论 8500,109775,https://weibo.com/2827102952?refer_flag=1001030103_
0,明星饭团,,收藏,转发 285,评论 529,37601,https://weibo.com/2092947541?refer_flag=1001030103_
08月21日 00:38,头条新闻,"盘点六大影视公司的高配置待播作品，有你想看的片单吗？
【正午阳光】《落花时节》雷佳音、袁泉、张艺兴
【柠萌影业】《小舍得》宋佳、佟大为、蒋欣
【新丽传媒】《叛逆者》朱一龙、童瑶
【华策克顿】《有翡》赵丽颖、王一博
【耀客传媒】《特战荣耀》杨洋、李一桐
【嘉行传媒】《斛珠夫人》杨 展开全文c",收藏,转发 286,评论 276,1543,https://weibo.com/1618051664?refer_flag=1001030103_
0,邓伦宣投组,,收藏,转发 24,评论 78,67,https://weibo.com/6248954398?refer_flag=1001030103_
27分钟前,绛战,【#女子手机与穿越火线主角撞号#，粉丝半夜骚扰机主苦不堪言】近日，因热播网剧《穿越火线》中出现了自己的手机号，洛阳邵女士的手机被大量网友打爆。她称粉丝常半夜打电话，自己有些抑郁症加上更年期，快要崩溃了。耀客传媒工作人员向邵女士致歉，并表示后期已在加紧修改。L一手Video的秒拍视频,收藏,转发,评论 1,2,https://weibo.com/3956240839?refer_flag=1001030103_
今天22:28,春来疫走平安顺遂,"#邓伦演的宋小强太真实了# dl #邓伦演技的细节#

日常任务，查缺补漏，你完成了吗

🔘关注wx公众号 ‼️‼️‼️
   【明星权力榜】华语男演员 - 投票🔥
   【寻艺】签到🔥 品牌星 - 搜索🔥

🔘今日转评赞汇总

【极限挑战】O网页链接
【耀客传媒】O网页链接
展开全文c",收藏,转发 2,评论 8,7,https://weibo.com/7189751704?refer_flag=1001030103_
今天22:20,XIAO-xiao马,,收藏,转发,评论,1,https://weibo.com/5306324286?refer_flag=1001030103_
今天22:02,脑海里的印象画2019,"如果没有让我们认出来的镜头的话
就不要夸下海口
也不要在主演那一栏
写上戴景耀

如果只是出现两秒的镜头的话
粉丝期待
最终失望
就像好不容易拥有了希望
然后又亲眼看着希望破碎
那种感觉真的不好受

@耀客传媒 也请你尊重",收藏,转发,评论,3,https://weibo.com/6966569414?refer_flag=1001030103_
今天20:13,钗黛难平,片尾花絮里的口罩小哥@戴戴戴景耀 ，这个聚餐商量事情的剧情正片没有，花絮能放出来吗@耀客传媒,收藏,转发,评论,1,https://weibo.com/5402757304?refer_flag=1001030103_
今天18:49,雨飞6002,耀客传媒好样的,收藏,转发,评论,0,https://weibo.com/5114482029?refer_flag=1001030103_
今天17:50,蓝墨水儿99,#邓伦演的宋小强太真实了# #在一起之我叫大连# 真实最动人@耀客传媒 @邓伦,收藏,转发,评论,0,https://weibo.com/1749029134?refer_flag=1001030103_
